;CA;PROVINCIA;LATITUD;LONGITUD;NOMBRE_LOCAL;DIRECCION;CIUDAD;TIPO;SECTOR;CONTACTO_EMPRESA;EMAIL;TELEFONO;FAKE_ACCESS;ACUM_VERDE;ACUM_AMARILLO;ACUM_ROJO;VALORACIONES;CERTIFICACION;IMAGEN;
4120;Cataluña;Barcelona;414.281.914;21.757.408;Cotxeres;;Barcelona;pub;hostelería;;41.4265862581753, 2.176213594604841;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
18949;Andalucía;Málaga;36.723.189;-44.190.995;Green Iguana Bar;Calle Ramón Franquelo 8;Málaga;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
12131;Madrid;Madrid;404.276.032;-36.963.292;Cafetería Santander;;Madrid;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
20534;Andalucía;Sevilla;373.932.044;-60.020.184;Bar restaurante la Gallega;;Sevilla;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
18067;Valencia;Valencia;394.458.878;-0.3893134;Barrilito;;Valencia;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
16126;País Vasco;Vizcaya;4.326.511;-29.437.959;Cervecería Mugarri;;Bilbao;pub;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipM_SZQMS9Xkzi64WFvzQbZJXLahYmQkMljPY3tq;
4518;Cataluña;Barcelona;413.770.183;21.352.388;El Racó de la Xemenea;Carrer del Miracle 50-52;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
18966;Andalucía;Málaga;367.211.582;-44.215.087;Café Central;Plaza de la Constitución 11;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
12978;Madrid;Madrid;404.193.676;-3.703.326;OVNI;Calle de la Salud 13;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
20676;Andalucía;Sevilla;37.392.956;-59.990.458;Bodegon Alfonso XII;NO STREET 33;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
18199;Valencia;Valencia;394.737.971;-0.3836228;Café Clasic;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
16281;País Vasco;Vizcaya;432.762.978;-29.561.928;NO NAME;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMaUHGpmOm0qVrH2W2Aa3PsClPUXrmNgzheUXL2;
1;Cataluña;Barcelona;413.836.428;21.583.028;Amaltea;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
18722;Andalucía;Málaga;36.720.179;-44.208.935;La Barra de Zapata;Calle Salinas 10;Málaga;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
9863;Madrid;Madrid;403.509.478;-38.913.527;Restaurante Viña Gabaldón;Avenida de Quitapesares 74;Madrid;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
19319;Andalucía;Sevilla;374.120.709;-5.959.816;Mesón Orosierra;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
16824;Valencia;Valencia;394.710.138;-0.3806733;Les Roques;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
14376;País Vasco;Vizcaya;432.941.237;-29.840.513;Wok Luck;;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMF-2DO9x21yug5aMkfnIL8GxpY74WBPxUWwUZ-;
4519;Cataluña;Barcelona;413.773.381;21.372.296;Via Fora!;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
18967;Andalucía;Málaga;366.763.364;-44.915.633;Starbucks;;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
12979;Madrid;Madrid;404.202.661;-37.028.563;Starbucks;;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
20677;Andalucía;Sevilla;373.923.366;-59.903.344;Cafetería Gaspump Garage;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
18200;Valencia;Valencia;394.751.587;-0.3823877;Bar Azahar;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
16282;País Vasco;Vizcaya;432.767.133;-29.590.876;NO NAME;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfd0gFk-75r2dBVtex3F_1Lc-YXgoOs0PcgD1Q;
2;Cataluña;Barcelona;413.895.184;21.621.769;Hanibishi;;Barcelona;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
18702;Andalucía;Málaga;367.216.041;-44.015.326;Restaurante De Sancha;Paseo de Sancha 30;Málaga;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
6081;Madrid;Madrid;404.508.807;-3.470.851;La Ruta del Pescador;Carretera de Loeches 27;Madrid;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
19122;Andalucía;Sevilla;373.881.734;-59.218.547;Pizzeria Maria;;Sevilla;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
16825;Valencia;Valencia;394.708.998;-0.3812193;La Masía del Vino;;Valencia;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
14365;País Vasco;Vizcaya;432.627.846;-29.309.044;Asia chic;Calle Ledesma / Ledesma kalea 30;Bilbao;restaurante;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMfnJ4v7xZ7usmSlQegeDG-ZzF-HxSHIhyqYzyh;
5723;Cataluña;Barcelona;414.043.891;21.576.461;Verdi Park Barcelona;Carrer de Torrijos 49;Barcelona;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
19113;Andalucía;Málaga;366.850.666;-4.472.571;CineSur;Calle Jaén 1;Málaga;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
14218;Madrid;Madrid;405.058.052;-33.332.894;Cines La Dehesa;;Madrid;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
20948;Andalucía;Sevilla;373.839.734;-59.725.307;Cinesur Nervión Plaza 3D;;Sevilla;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
18485;Valencia;Valencia;394.696.945;-0.3572292;Cines Babel;Carrer de Vicent Sancho Tello 10;Valencia;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
16814;País Vasco;Vizcaya;43.287.278;-30.072.946;Coliseo Max Ocio;;Bilbao;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMr5M-FZIvAdGVmeG-hPpvy_TFte1DVmnqvxaxt;
5793;Cataluña;Barcelona;413.704.842;21.232.532;Auditori la Torrassa;Carrer de Santiago Apòstol 40;Barcelona;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK;
19118;Andalucía;Málaga;367.359.502;-44.229.388;Colectivo Cultural Maynake;Calle San Juan Bosco 79;Málaga;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK;
14266;Madrid;Madrid;404.183.658;-37.032.747;Teatro Muñoz Seca;Plaza del Carmen 1;Madrid;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK;
20964;Andalucía;Sevilla;373.810.586;-59.735.217;carmen del monte;;Sevilla;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK;
18493;Valencia;Valencia;394.715.046;-0.3812925;Teatro Círculo;;Valencia;teatro;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMs9-mQgXQ-IflaElpBrlfl-hRmrCvoXHWPnhAK;
4509;Cataluña;Barcelona;413.823.971;20.740.829;Parador;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
4510;Cataluña;Barcelona;413.803.452;2.170.768;Mendizabal;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
4511;Cataluña;Barcelona;41.438.684;22.171.549;Rin;carrer de Pérez Galdós 29;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
4520;Cataluña;Barcelona;413.781.031;21.705.853;El cafè de les delícies;;Barcelona;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18983;Andalucía;Málaga;367.209.488;-4.422.846;Roldan Panade;;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18987;Andalucía;Málaga;36.720.926;-43.590.815;Salón Florido;;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18990;Andalucía;Málaga;366.887.762;-4.455.462;Café Molière;Calle Palma del Río 19;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18968;Andalucía;Málaga;366.830.024;-44.707.306;Caffe Pascucci Shop Malaga;;Málaga;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
13100;Madrid;Madrid;404.600.259;-34.608.224;Ramos;;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
13018;Madrid;Madrid;404.254;-37.072.729;Bake Bar;Calle de San Bernardo 58;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
12971;Madrid;Madrid;404.167.458;-37.101.814;Anticafé;Calle de la Unión 2;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
12980;Madrid;Madrid;404.200.282;-37.054.691;Starbucks;Plaza de Callao 4;Madrid;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
20732;Andalucía;Sevilla;373.651.169;-59.787.395;Cafetería Ilundáin;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
20725;Andalucía;Sevilla;373.832.345;-59.871.066;Horno San Bernardo;Avda. Menéndez y Pelayo 9999;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
20669;Andalucía;Sevilla;373.828.911;-59.721.654;Cafe de Indias;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
20678;Andalucía;Sevilla;373.893.782;-59.845.627;NO NAME;;Sevilla;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18190;Valencia;Valencia;394.726.864;-0.3804083;Bar Valencia;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18191;Valencia;Valencia;394.725.895;-0.3803718;Cafés Valiente;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18192;Valencia;Valencia;39.471.011;-0.3818602;Ni pa ti ni pa mi;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
18201;Valencia;Valencia;394.747.931;-0.3810849;Ca Revolta;;Valencia;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
16272;País Vasco;Vizcaya;432.546.807;-29.223.182;Hikaateneo Bilbao;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
16273;País Vasco;Vizcaya;432.625.876;-29.343.305;Cafe & Te GR Compañía del trópico;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
16274;País Vasco;Vizcaya;433.313.924;-2.967.459;Garai;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
16283;País Vasco;Vizcaya;4.327.508;-29.567.742;Josebar;;Bilbao;cafe;hostelería;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMwE506czVoZaYhhBk0Vgcjv0ThpqkTT9OZrDmh;
5737;Cataluña;Barcelona;414.090.866;21.718.056;Phenomena;Carrer de Sant Antoni Maria Claret 168;Barcelona;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMYgeDJ9iq1SgPABdqsniXB1k9KCftRZELwnR-S;
19116;Andalucía;Málaga;36.691.301;-44.870.626;Autocines Málaga;Carretera Azucarera-Intelhorce 9999;Málaga;cine;ocio;;;;;;;;;;https://photos.google.com/album/AF1QipPeTjEVM6iqX9eTYo84PXkbccPUirzMGqLjJsOG/photo/AF1QipMYgeDJ9iq1SgPABdqsniXB1k9KCftRZELwnR-S;
